date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:13	37776/37776	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html	(from )
14:17:14	103/103	---M--	200	added ('OK')	text/plain	date:Wed,%2014%20Jun%202017%2008:07:38%20GMT	http://www.themechampion.com/robots.txt		(from )
14:17:15	121251/121251	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jul%202018%2001:20:20%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/css/bootstrap.min.css	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/css/bootstrap.min.css	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:19	95025/95025	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202020%2023:19:36%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/css/style.css	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/css/style.css	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:19	44021/44021	---M--	200	added ('OK')	text/css	date:Fri,%2010%20Apr%202020%2022:57:16%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/css/responsive-style.css	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/css/responsive-style.css	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:21	27147/27147	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jul%202018%2001:20:20%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/css/effect_style.css	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/css/effect_style.css	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:23	52799/52799	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jul%202018%2001:20:20%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/css/animate.min.css	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/css/animate.min.css	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:23	69288/69288	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jul%202018%2001:20:20%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/css/animate.css	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/css/animate.css	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:25	19021/19021	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jul%202018%2001:20:20%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/css/responsive_bootstrap_carousel.css	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/css/responsive_bootstrap_carousel.css	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:25	66963/66963	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/index.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/index.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:26	1474/1474	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Jul%202018%2001:20:18%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/images/header3-logo.png	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/images/header3-logo.png	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:27	1369/1369	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Jul%202018%2001:20:18%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/images/header-3-sticky-logo.png	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/images/header-3-sticky-logo.png	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:27	64417/64417	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/index2.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/index2.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:28	67799/67799	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/index4.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/index4.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:29	66171/66171	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/index5.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/index5.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:29	23824/23824	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:52%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/about.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/about.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:30	27283/27283	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:52%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/faq.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/faq.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:31	22668/22668	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/team.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/team.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:31	19121/19121	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/testimonials.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/testimonials.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:32	1724/1724	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2003:04:34%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/maintenance.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/maintenance.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:32	2098/2098	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Jul%202018%2010:50:20%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/coming-soon.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/coming-soon.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:33	13881/13881	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/page-404.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/page-404.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:33	18444/18444	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/services.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/services.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:34	23865/23865	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:47:34%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/manufacturing.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/manufacturing.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:35	23526/23526	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:56:36%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/cnc-industry.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/cnc-industry.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:35	20883/20883	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2020:00:08%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/chemical-industry.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/chemical-industry.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:36	19190/19190	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2020:01:36%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/energy-engineering.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/energy-engineering.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:37	19047/19047	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2020:02:52%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/oil-industry.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/oil-industry.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:37	23233/23233	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2020:03:34%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/material-engineering.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/material-engineering.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:38	22035/22035	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/portfolio-2.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/portfolio-2.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:39	23023/23023	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/portfolio-3.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/portfolio-3.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:39	24136/24136	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/portfolio-4.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/portfolio-4.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:40	26379/26379	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/portfolio-5.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/portfolio-5.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:41	19124/19124	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:52%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/blog.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/blog.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:41	22576/22576	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:39:54%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/blog-left-sidebar.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/blog-left-sidebar.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:42	22567/22567	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:43:12%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/blog-right-sidebar.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/blog-right-sidebar.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:43	30490/30490	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/shop.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/shop.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:43	25616/25616	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/shop-detail.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/shop-detail.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:44	19149/19149	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:52%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/cart.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/cart.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:45	20737/20737	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:52%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/checkout.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/checkout.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:45	16792/16792	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:52%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/contact.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/contact.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:46	16840/16840	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2019:29:58%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/request-quote.html	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/request-quote.html	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:47	1269/1269	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Jul%202018%2001:20:18%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/images/team-icon.png	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/images/team-icon.png	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:47	1563/1563	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Jul%202018%2001:20:18%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/images/delivery-time-icon.png	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/images/delivery-time-icon.png	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:48	1040/1040	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Jul%202018%2001:20:18%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/images/quality-icon.png	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/images/quality-icon.png	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:50	40843/40843	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2001:20:18%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/images/whoweare-img.jpg	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/images/whoweare-img.jpg	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:57	39691/39691	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2001:20:18%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/images/home2-images/home2-energyengineering-img.jpg	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/images/home2-images/home2-energyengineering-img.jpg	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
14:17:58	38067/38067	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Jul%202018%2001:20:18%20GMT	http://www.themechampion.com/templates/indofact_html_landing_page/theme/images/home2-images/home2-oilindustry-img.jpg	D:/cs/indofact/www.themechampion.com/templates/indofact_html_landing_page/theme/images/home2-images/home2-oilindustry-img.jpg	(from http://www.themechampion.com/templates/indofact_html_landing_page/theme/index3.html)
